District,DBN,School Type,Report Type,School Name,Impact,Performance
1,01M015,Elementary,EMS,P.S. 015 Roberto Clemente,0.87,0.62
1,01M019,Elementary,EMS,P.S. 019 Asher Levy,0.59,0.56
1,01M020,Elementary,EMS,P.S. 020 Anna Silver,0.39,0.33
1,01M034,K-8,EMS,P.S. 034 Franklin D. Roosevelt,0.35,0.3
1,01M063,Elementary,EMS,The STAR Academy - P.S.63,0.92,0.62
1,01M064,Elementary,EMS,P.S. 064 Robert Simon,0.43,0.34
1,01M110,Elementary,EMS,P.S. 110 Florence Nightingale,0.63,0.76
1,01M134,Elementary,EMS,P.S. 134 Henrietta Szold,0.54,0.29
1,01M140,K-8,EMS,P.S. 140 Nathan Straus,0.35,0.26
1,01M142,Elementary,EMS,P.S. 142 Amalia Castro,0.66,0.38
1,01M184,K-8,EMS,P.S. 184m Shuang Wen,0.62,0.75
1,01M188,K-8,EMS,P.S. 188 The Island School,0.78,0.4
1,01M292,High School,HS,Orchard Collegiate Academy,0.6,0.45
1,01M301,Middle,EMS,"Technology, Arts, and Sciences Studio",0.35,0.27
1,01M315,Elementary,EMS,The East Village Community School,0.38,0.71
1,01M332,Middle,EMS,University Neighborhood Middle School,0.31,0.19
1,01M361,Elementary,EMS,The Childrens Workshop School,0.57,0.64
1,01M363,Elementary,EMS,Neighborhood School,0.36,0.58
1,01M364,Elementary,EMS,Earth School,0.26,0.41
1,01M378,Middle,EMS,School for Global Leaders,0.39,0.29
1,01M448,High School,HS,University Neighborhood High School,0.68,0.61
1,01M450,High School,HS,East Side Community School,0.52,0.71
1,01M450,Middle,EMS,East Side Community School,0.22,0.56
1,01M458,High School Transfer,HST,Forsyth Satellite Academy,0.66,0.45
1,01M509,High School,HS,Marta Valle High School,0.41,0.32
1,01M515,High School Transfer,HST,Lower East Side Preparatory High School,0.58,0.67
1,01M539,High School,HS,"New Explorations into Science, Technology and Math",0.6,0.85
1,01M539,K-8,EMS,"New Explorations into Science, Technology and Math",0.51,0.96
1,01M650,High School Transfer,HST,Cascades High School,0.48,0.42
1,01M696,High School,HS,Bard High School Early College,0.44,0.86
1,01M839,Middle,EMS,Tompkins Square Middle School,0.48,0.56
2,02M001,Elementary,EMS,P.S. 001 Alfred E. Smith,0.5,0.52
2,02M002,Elementary,EMS,P.S. 002 Meyer London,0.6,0.67
2,02M003,Elementary,EMS,P.S. 003 Charrette School,0.33,0.79
2,02M006,Elementary,EMS,P.S. 006 Lillie D. Blake,0.59,0.96
2,02M011,Elementary,EMS,P.S. 011 William T. Harris,0.53,0.75
2,02M033,Elementary,EMS,P.S. 033 Chelsea Prep,0.33,0.63
2,02M040,Elementary,EMS,P.S. 040 Augustus Saint-Gaudens,0.58,0.95
2,02M041,Elementary,EMS,P.S. 041 Greenwich Village,0.61,0.95
2,02M042,Elementary,EMS,P.S. 042 Benjamin Altman,0.67,0.76
2,02M047,High School,HS,47 The American Sign Language and English Secondar,0.68,0.58
2,02M051,Elementary,EMS,P.S. 051 Elias Howe,0.24,0.46
2,02M059,Elementary,EMS,P.S. 059 Beekman Hill International,0.58,0.92
2,02M077,Elementary,EMS,P.S. 77 Lower Lab School,0.79,0.97
2,02M089,Elementary,EMS,P.S. 89,0.59,0.95
2,02M104,Middle,EMS,J.H.S. 104 Simon Baruch,0.41,0.76
2,02M111,Elementary,EMS,P.S. 111 Adolph S. Ochs,0.5,0.45
2,02M114,Middle,EMS,East Side Middle School,0.64,0.96
2,02M116,Elementary,EMS,P.S. 116 Mary Lindley Murray,0.44,0.67
2,02M124,Elementary,EMS,P.S. 124 Yung Wing,0.83,0.92
2,02M126,K-8,EMS,P.S. 126 Jacob August Riis,0.69,0.75
2,02M130,Elementary,EMS,P.S. 130 Hernando De Soto,0.68,0.93
2,02M131,Middle,EMS,M.S. 131,0.56,0.52
2,02M135,High School,HS,The Urban Assembly School for Emergency Management,0.58,0.47
2,02M139,High School,HS,Stephen T. Mather Building Arts  Craftsmanship Hi,0.48,0.49
2,02M150,Elementary,EMS,P.S. 150,0.71,0.95
2,02M151,Elementary,EMS,Yorkville Community School,0.47,0.65
2,02M158,Elementary,EMS,P.S. 158 Bayard Taylor,0.37,0.92
2,02M167,Middle,EMS,J.H.S. 167 Robert F. Wagner,0.54,0.87
2,02M177,Middle,EMS,Yorkville East Middle School,0.6,0.73
2,02M183,Elementary,EMS,P.S. 183 Robert L. Stevenson,0.54,0.95
2,02M198,Elementary,EMS,P.S. 198 Isador E. Ida Straus,0.59,0.78
2,02M212,Elementary,EMS,P.S. 212 Midtown West,0.48,0.83
2,02M217,K-8,EMS,P.S./I.S. 217 Roosevelt Island,0.49,0.67
2,02M225,K-8,EMS,Ella Baker School,0.53,0.54
2,02M234,Elementary,EMS,P.S. 234 Independence School,0.61,0.93
2,02M255,Middle,EMS,M.S. 255 Salk School of Science,0.51,0.96
2,02M260,High School,HS,M.S. 260 Clinton School Writers  Artists,0.64,0.86
2,02M260,Middle,EMS,M.S. 260 Clinton School Writers  Artists,0.45,0.96
2,02M267,Elementary,EMS,"East Side Elementary School, PS 267",0.56,0.93
2,02M276,K-8,EMS,Battery Park City School,0.59,0.82
2,02M280,High School,HS,Manhattan Early College School for Advertising,0.66,0.67
2,02M281,Elementary,EMS,The River School,,
2,02M282,High School,HS,Urban Assembly Maker Academy,0.35,0.5
2,02M288,High School,HS,Food and Finance High School,0.5,0.49
2,02M289,Middle,EMS,I.S. 289,0.5,0.76
2,02M290,Elementary,EMS,P.S. 290 Manhattan New School,0.63,0.96
2,02M294,High School,HS,Essex Street Academy,0.65,0.62
2,02M296,High School,HS,High School of Hospitality Management,0.59,0.42
2,02M297,Middle,EMS,M.S. 297,,
2,02M298,High School,HS,Pace High School,0.52,0.57
2,02M300,High School,HS,"Urban Assembly School of Design and Construction,",0.34,0.32
2,02M303,High School,HS,"Facing History School, The",0.49,0.34
2,02M305,High School,HS,"Urban Assembly Academy of Government and Law, The",0.6,0.46
2,02M308,High School,HS,Lower Manhattan Arts Academy,0.63,0.44
2,02M312,Middle,EMS,New York City Lab Middle School for Collaborative,0.54,0.94
2,02M313,High School Transfer,HST,"James Baldwin School, The: A School for Expedition",0.55,0.49
2,02M316,High School,HS,"Urban Assembly School of Business for Young Women,",0.23,0.29
2,02M343,Elementary,EMS,The Peck Slip School,0.41,0.83
2,02M347,K-8,EMS,The 47 American Sign Language  English Lower Scho,0.9,0.45
2,02M374,High School,HS,Gramercy Arts High School,0.39,0.5
2,02M376,High School,HS,NYC iSchool,0.6,0.82
2,02M392,High School,HS,MANHATTAN BUSINESS ACADEMY,0.58,0.54
2,02M393,High School,HS,Business Of Sports School,0.59,0.48
2,02M394,High School Transfer,HST,Emma Lazarus High School,0.8,0.8
2,02M397,K-8,EMS,Spruce Street School,0.56,0.82
2,02M399,High School,HS,The High School For Language And Diplomacy,0.48,0.47
2,02M400,High School,HS,High School for Environmental Studies,0.38,0.49
2,02M407,High School,HS,Institute for Collaborative Education,0.59,0.77
2,02M407,Middle,EMS,Institute for Collaborative Education,0.53,0.54
2,02M408,High School,HS,Professional Performing Arts High School,0.49,0.78
2,02M408,Middle,EMS,Professional Performing Arts High School,0.25,0.91
2,02M411,High School,HS,Baruch College Campus High School,0.67,0.9
2,02M412,High School,HS,N.Y.C. Lab School for Collaborative Studies,0.67,0.88
2,02M413,High School,HS,School of the Future High School,0.57,0.82
2,02M413,Middle,EMS,School of the Future High School,0.43,0.72
2,02M414,High School,HS,N.Y.C. Museum School,0.69,0.86
2,02M416,High School,HS,Eleanor Roosevelt High School,0.62,0.91
2,02M418,High School,HS,Millennium High School,0.65,0.9
2,02M419,High School,HS,Landmark High School,0.62,0.46
2,02M420,High School,HS,High School for Health Professions and Human Servi,0.63,0.67
2,02M422,High School,HS,Quest to Learn,0.51,0.48
2,02M422,Middle,EMS,Quest to Learn,0.29,0.42
2,02M425,High School,HS,Leadership and Public Service High School,0.47,0.39
2,02M427,High School,HS,MANHATTAN ACADEMY FOR ARTS  LANGUAGE,0.48,0.33
