,FISCAL_YEAR,ATS.SYSTEM.CODE,LOCATION_CODE,LOCATION_NAME,BEDS.NUMBER,schoolType,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,PRINCIPAL_NAME,PRINCIPAL_TITLE,PRINCIPAL_PHONE_NUMBER,FAX_NUMBER,GEOGRAPHICAL_DISTRICT_CODE,ADMIN_DISTRICT_LOCATION_CODE,ADMINISTRATIVE_DISTRICT_NAME,COMMUNITY_SCHOOL_SUP_NAME,FIELD_SUPPORT_CENTER_NAME,FIELD_SUPPORT_CENTER_LEADER_NAME,SCHOOL_SUPPORT_TEAM_NAME,HIGHSCHOOL_NETWORK_LOCATION_CODE,HIGHSCHOOL_NETWORK_NAME,HIGHSCHOOL_NETWORK_SUPERINTENDENT,lat,lon,economicneedsIndex,povertyPercentage,percentFemale,# Male,percentMale,# Asian,percentAsian,# Black,percentBlack,# Hispanic,percentHispanic,# Multiple Race Categories Not Represented,percentMultiracial,# White,percentWhite,# Students with Disabilities,percentDisability,# English Language Learners,percentELL,# Poverty,totalEnrollment
1,2018,01M015,M015,P.S. 015 Roberto Clemente,3.10E+11,DOE,General Academic,Elementary,7/1/1904 0:00,Open,M015,333 EAST  4 STREET,990141,202349,103,2,2601,1003740020,MN28,Lower East Side                                                            ,IRENE SANCHEZ,PRINCIPAL,212-228-8730,212-477-0931,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.722075,-73.978747,0.89,84.7,52.1,91,47.9,20,10.5,52,27.4,110,57.9,2,1.1,6,3.2,45,23.7,8,4.2,161,190
2,2018,01M019,M019,P.S. 019 Asher Levy,3.10E+11,DOE,General Academic,Elementary,7/1/1956 0:00,Open,M019,185 1 AVENUE,988547,205239,103,2,4000,1004530034,MN22,East Village                                                               ,JACQUELINE FLANAGAN,PRINCIPAL,212-533-5340,212-673-1477,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.730009,-73.984496,0.672,76.7,44.4,143,55.6,23,8.9,49,19.1,166,64.6,3,1.2,16,6.2,87,33.9,8,3.1,197,257
3,2018,01M020,M020,P.S. 020 Anna Silver,3.10E+11,DOE,General Academic,Elementary,7/1/1963 0:00,Open,M020,166 ESSEX STREET,988044,202068,103,1,3001,1003550001,MN27,Chinatown                                                                  ,SARAH PINTO VIAGRAN,PRINCIPAL,212-254-9577,212-254-3526,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.721305,-73.986312,0.792,71.6,49.1,253,50.9,147,29.6,51,10.3,264,53.1,19,3.8,16,3.2,114,22.9,86,17.3,356,497
4,2018,01M034,M034,P.S. 034 Franklin D. Roosevelt,3.10E+11,DOE,General Academic,K-8,7/1/1955 0:00,Open,M034,730 EAST  12 STREET,991163,203782,103,2,2800,1003810038,MN28,Lower East Side                                                            ,ANGELIKI LOUKATOS,PRINCIPAL,212-228-4433,212-353-1973,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.726008,-73.975058,0.939,97.6,45,183,55,11,3.3,106,31.8,204,61.3,3,0.9,9,2.7,122,36.6,25,7.5,325,333
5,2018,01M063,M063,The STAR Academy - P.S.63,3.10E+11,DOE,General Academic,Elementary,7/1/1905 0:00,Open,M063,121 EAST  3 STREET,988071,203210,103,2,3200,1004310014,MN22,East Village                                                               ,DARLENE CAMERON,PRINCIPAL,212-674-3180,212-420-9018,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.72444,-73.986214,0.759,81.8,49.3,103,50.7,6,3,37,18.2,128,63.1,8,3.9,24,11.8,67,33,2,1,166,203
6,2018,01M064,M064,P.S. 064 Robert Simon,3.10E+11,DOE,General Academic,Elementary,7/1/1954 0:00,Open,M064,600 EAST  6 STREET,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,Marlon L. Hosang,PRINCIPAL,212-673-6510,212-477-2369,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.72313,-73.981597,0.876,91,41.2,144,58.8,11,4.5,51,20.8,167,68.2,3,1.2,13,5.3,71,29,5,2,223,245
7,2018,01M110,M110,P.S. 110 Florence Nightingale,3.10E+11,DOE,General Academic,Elementary,7/1/1902 0:00,Open,M110,285 DELANCY STREET,989817,199992,103,1,1200,0,MN28,Lower East Side                                                            ,KAREN FEUER,PRINCIPAL,212-674-2690,212-475-5835,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.7162,-73.9798,0.575,62,43.8,213,56.2,64,16.9,37,9.8,168,44.3,11,2.9,99,26.1,47,12.4,14,3.7,235,379
8,2018,01M134,M134,P.S. 134 Henrietta Szold,3.10E+11,DOE,General Academic,Elementary,7/1/1960 0:00,Open,M134,293 EAST BROADWAY,988726,199497,103,1,202,1002880001,MN28,Lower East Side                                                            ,Daniel Kim,PRINCIPAL,212-673-4470,212-475-6142,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.714248,-73.983854,0.89,90.6,44.1,166,55.9,33,11.1,64,21.5,182,61.3,7,2.4,11,3.7,119,40.1,26,8.8,269,297
9,2018,01M140,M140,P.S. 140 Nathan Straus,3.10E+11,DOE,General Academic,K-8,7/1/1959 0:00,Open,M140,123 RIDGE STREET,988749,201282,103,1,2201,1003440001,MN28,Lower East Side                                                            ,MELISSA RODRIGUEZ,PRINCIPAL,212-677-4680,212-677-3907,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.719148,-73.983769,0.906,87.3,49.1,189,50.9,21,5.7,46,12.4,292,78.7,2,0.5,10,2.7,115,31,36,9.7,324,371
10,2018,01M142,M142,P.S. 142 Amalia Castro,3.10E+11,DOE,General Academic,Elementary,7/1/1976 0:00,Open,M142,100 ATTORNEY STREET,988653,200908,103,1,1402,1003430001,MN28,Lower East Side                                                            ,DAPHNA GUTMAN,PRINCIPAL,212-598-3800,212-598-3810,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",Field Support Center - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,NULL,NULL,NULL,40.718121,-73.984116,0.904,97.4,44.7,188,55.3,8,2.4,43,12.6,281,82.6,7,2.1,1,0.3,122,35.9,27,7.9,331,340
